year,oysters
1772.9654882154882, 0.30676113931190063
1774.0176767676767, 0.2750352509870276
1774.9646464646464, 0.21070219966159043
1776.0168350168349, 0.12609983079526216
1777.0690235690236, 0.18514523406655378
1778.121212121212, 0.1736886632825718
1779.0681818181818, 0.21158347433728136
1780.0151515151515, 0.1463691483361533
1780.9621212121212, 0.08556119571347987
1796.0084175084176, 0.024753243090806454
1800.9537037037037, 0.0326847151720247
1808.003367003367, 0.0326847151720247
1868.9473684210527, 5.291457286432159
1870, 4.175879396984923
1870.9473684210527, 4.447236180904522
1872, 4.251256281407034
1873.0526315789475, 3.3618090452261296
1874, 1.522613065326631
1874.9473684210527, 1.1155778894472341
1876, 1.1155778894472341
1876.842105263158, 1.266331658291456
1878, 0.9195979899497466
1878.9473684210527, 1.025125628140703
1879.8947368421054, 0.9195979899497466
1880.9473684210527, 0.46733668341708423
1890.9473684210527, 1.1155778894472341
1891.8947368421054, 0.3768844221105496
1892.9473684210527, 0.5427135678391934
1894.9473684210527, 0.31658291457286225
1896, 0.31658291457286225
1896.9473684210527, 0.31658291457286225
1898, 0.33165829145728587
1898.9473684210527, 0.3768844221105496
1899.8947368421054, 0.4070351758793933
1900.9473684210527, 0.46733668341708423
1902, 0.33165829145728587
1902.9473684210527, 0.24120603015075126
1903.8947368421054, 0.19597989949748573
1904.842105263158, 0.19597989949748573
1906, 0.28643216080401857
1906.9473684210527, 0.31658291457286225
1908, 0.33165829145728587
1908.842105263158, 0.33165829145728587
1909.8947368421054, 0.6633165829145717
1910.9473684210527, 0.9195979899497466
1911.7894736842106, 0.9346733668341702
1912.9473684210527, 0.8442211055276356
1914, 0.4070351758793933
1914.9473684210527, 0.5276381909547734
1915.7894736842106, 0.36180904522612956
1916.9473684210527, 0.4070351758793933
1917.8947368421054, 0.8592964824120592
1918.9473684210527, 0.6633165829145717
1919.8947368421054, 0.7236180904522591
1920.9473684210527, 0.6934673366834154
1922, 0.21105527638190758
1923.8947368421054, 0.10552763819095112
